dev,seq,hint,threads,time,workGB,tlb,readGB,CPUwork
/dev/md127,1,0,20,83.973,2.64648,457169,50.574,3748
/dev/md127,1,0,20,84.9839,2.52441,463069,57.5568,3746
/dev/md127,1,0,20,85.9948,2.62695,457996,57.2678,3747
/dev/md127,1,0,20,87.0058,2.81024,438947,57.777,3750
/dev/md127,1,0,20,88.0169,2.55781,468609,57.5968,3747
/dev/md127,1,0,20,89.0277,2.82286,439699,57.3135,3750
/dev/md127,1,0,20,90.0387,2.49969,472896,57.6488,3746
/dev/md127,1,0,20,91.0494,2.84004,433430,51.9369,3750
/dev/md127,1,0,20,92.0604,2.56018,464563,57.8247,3747
/dev/md127,1,0,20,93.0716,2.70458,452459,57.7088,3749
/dev/md127,1,0,20,94.0825,2.78857,448401,57.9125,3748
/dev/md127,1,0,20,95.0935,2.55407,463636,57.9718,3746
/dev/md127,1,0,20,96.1042,1.25178,186887,57.2956,3782
/dev/md127,1,0,20,98.2228,0.0374146,549,118.204,7980
/dev/md127,1,0,20,99.2339,0.112305,17371,48.0498,3807
/dev/md127,1,0,20,100.245,2.38574,437452,48.9932,3750
/dev/md127,1,0,20,101.256,2.50732,476731,57.3741,3745
/dev/md127,1,0,20,102.267,2.89062,425864,57.782,3751
/dev/md127,1,0,20,103.278,2.55371,462882,57.6034,3745
/dev/md127,1,0,20,104.289,2.51434,466054,57.9454,3745
/dev/md127,1,0,20,105.3,2.91339,433097,58.1008,3750
/dev/md127,1,0,20,106.311,2.48682,474370,57.3862,3744
/dev/md127,1,0,20,107.322,2.82812,435007,57.6413,3749
/dev/md127,1,0,20,108.333,2.69092,451039,57.6209,3747
/dev/md127,1,0,20,109.344,2.59375,454761,57.5865,3746
/dev/md127,1,0,20,110.355,2.62128,448096,57.5089,3746
/dev/md127,1,0,20,111.365,2.67755,447907,57.3301,3747
/dev/md127,1,0,20,112.376,2.6792,448903,57.7715,3747
/dev/md127,1,0,20,113.387,2.58057,456312,57.1631,3747
/dev/md127,1,0,20,114.398,2.52441,463687,57.7393,3745
/dev/md127,1,0,20,115.409,2.84961,420614,57.7953,3751
/dev/md127,1,0,20,116.42,2.44922,470421,57.5467,3746
/dev/md127,1,0,20,117.43,2.76855,435039,57.384,3750
/dev/md127,1,0,20,118.441,2.50769,466631,57.9378,3745
/dev/md127,1,0,20,119.452,2.62317,463048,57.7128,3746
/dev/md127,1,0,20,120.463,2.92334,428440,57.6906,3750
/dev/md127,1,0,20,121.474,2.7453,444704,57.6571,3747
/dev/md127,1,0,20,122.485,2.45929,478034,57.4908,3745
/dev/md127,1,0,20,123.496,2.9035,434438,57.832,3750
/dev/md127,1,0,20,124.507,2.5163,459517,57.7188,3747
/dev/md127,1,0,20,125.518,2.64268,452081,57.3888,3747
/dev/md127,1,0,20,126.529,2.66262,460390,57.9895,3748
/dev/md127,1,0,20,127.54,2.7373,440337,57.208,3749
/dev/md127,1,0,20,128.551,2.5415,468209,57.9285,3746
/dev/md127,1,0,20,129.562,2.64325,442612,57.546,3748
/dev/md127,1,0,20,130.573,2.68288,450309,57.3708,3749
/dev/md127,1,0,20,131.584,2.67973,453398,57.6655,3748
/dev/md127,1,0,20,132.594,2.6966,451328,57.5225,3748
/dev/md127,1,0,20,133.605,2.71698,448020,57.5568,3749
/dev/md127,1,0,20,134.616,2.71191,442761,57.5007,3749
/dev/md127,1,0,20,135.627,2.59131,465402,57.5884,3746
/dev/md127,1,0,20,136.638,0.942749,152400,56.046,3787
/dev/md127,1,0,20,137.648,0.0411377,16945,47.1145,3804
/dev/md127,1,0,20,138.659,0.00976562,1217,35.3954,3806
/dev/md127,1,0,20,139.712,0.0760498,24742,0.534554,3966
/dev/md127,1,0,20,140.723,2.47374,439450,49.9462,3750
/dev/md127,1,0,20,141.734,2.53469,469060,57.8809,3746
/dev/md127,1,0,20,142.745,2.58838,464015,57.4256,3745
/dev/md127,1,0,20,143.756,2.80615,442411,57.6336,3747
/dev/md127,1,0,20,144.767,2.55371,460513,57.7057,3745
/dev/md127,1,0,20,145.778,2.77148,442339,57.393,3748
/dev/md127,1,0,20,146.789,2.48975,473317,57.6741,3745
/dev/md127,1,0,20,147.8,2.77313,422516,57.427,3751
/dev/md127,1,0,20,148.811,2.3504,435653,23.4594,3751
/dev/md127,1,0,20,149.821,2.37305,406034,2.37305,3758
/dev/md127,1,0,20,150.832,2.43115,405608,2.42182,3755
/dev/md127,1,0,20,151.842,2.30371,419689,2.29107,3755
/dev/md127,1,0,20,152.853,2.50732,391100,2.53006,3753
/dev/md127,1,0,20,153.863,2.06592,445199,2.08974,3748
/dev/md127,1,0,20,154.874,2.60388,381534,2.60547,3756
/dev/md127,1,0,20,155.884,2.26233,430507,2.2168,3749
/dev/md127,1,0,20,156.895,2.42139,399142,2.41406,3753
/dev/md127,1,0,20,157.905,2.3598,409134,2.37598,3751
/dev/md127,1,0,20,158.916,2.27319,415330,2.27246,3750
/dev/md127,1,0,20,159.926,2.49921,392474,2.49023,3753
/dev/md127,1,0,20,160.937,2.11328,433272,2.16992,3750
/dev/md127,1,0,20,161.947,2.66663,381157,2.63281,3757
/dev/md127,1,0,20,162.958,2.09863,433485,2.11328,3749
/dev/md127,1,0,20,163.968,2.49451,391745,2.48828,3755
/dev/md127,1,0,20,164.979,2.36389,408208,2.35669,3752
/dev/md127,1,0,20,165.99,2.25244,413755,2.25854,3752
/dev/md127,1,0,20,167,2.49268,389871,2.5,3753
/dev/md127,1,0,20,168.011,2.25049,423874,2.22852,3747
/dev/md127,1,0,20,169.022,2.54071,387523,2.54688,3754
/dev/md127,1,0,20,170.032,2.06287,442169,2.08472,3747
/dev/md127,1,0,20,171.043,2.57513,385651,2.56177,3755
/dev/md127,1,0,20,172.053,2.26758,422084,2.26807,3748
/dev/md127,1,0,20,173.064,2.38495,405348,2.39404,3753
/dev/md127,1,0,20,174.074,2.44611,402817,2.42188,3751
/dev/md127,1,0,20,175.085,2.29608,421196,2.27187,3750
/dev/md127,1,0,20,176.095,2.54474,386670,2.55859,3753
/dev/md127,1,0,20,177.106,2.08746,439640,2.07178,3746
/dev/md127,1,0,20,178.117,2.47986,391485,2.5376,3754
/dev/md127,1,0,20,179.127,2.29889,411771,2.30078,3749
/dev/md127,1,0,20,180.162,1.8877,297782,1.87305,3858
/dev/md127,1,0,20,182.473,0.165062,20313,0.137615,8703
/dev/md127,1,0,20,183.484,0.100422,26675,0.0859375,3804
/dev/md127,1,0,20,184.495,2.01532,425017,2.09144,3750
/dev/md127,1,0,20,185.505,2.58168,379209,2.59969,3758
/dev/md127,1,0,20,186.516,2.02472,439694,2.06287,3749
/dev/md127,1,0,20,187.526,2.50977,392508,2.50977,3754
/dev/md127,1,0,20,188.537,2.36816,407133,2.35352,3752
/dev/md127,1,0,20,189.547,2.28015,417415,2.27734,3750
/dev/md127,1,0,20,190.558,2.51624,386238,2.51172,3754
/dev/md127,1,0,20,191.568,2.11719,438303,2.11719,3747
/dev/md127,1,0,20,192.579,2.61591,383082,2.61157,3755
/dev/md127,1,0,20,193.589,2.14313,430490,2.17114,3748
/dev/md127,1,0,20,194.6,2.49829,394194,2.49658,3754
/dev/md127,1,0,20,195.61,2.31641,417824,2.31641,3752
/dev/md127,1,0,20,196.621,2.34863,412760,2.33398,3751
/dev/md127,1,0,20,197.76,2.5293,483426,2.5293,4229
/dev/md127,1,0,20,198.771,2.59277,383607,2.60742,3756
/dev/md127,1,0,20,199.781,2.26758,425082,2.23828,3751
/dev/md127,1,0,20,200.792,2.41943,404301,2.41211,3755
/dev/md127,1,0,20,201.803,2.38361,407720,2.39685,3751
/dev/md127,1,0,20,202.813,2.29871,416976,2.29846,3753
/dev/md127,1,0,20,203.824,2.56671,387636,2.56836,3754
/dev/md127,1,0,20,204.834,2.07019,443397,2.08789,3747
/dev/md127,1,0,20,205.845,2.54944,386985,2.53906,3754
/dev/md127,1,0,20,206.855,2.25732,421153,2.2793,3750
/dev/md127,1,0,20,207.866,2.38904,407327,2.39099,3752
/dev/md127,1,0,20,208.876,2.44739,404761,2.42346,3752
/dev/md127,1,0,20,209.887,2.24268,425955,2.25,3750
/dev/md127,1,1,20,1.01031,0.0820045,0,58.431,3838
/dev/md127,1,1,20,2.02088,0.0981598,0,57.7389,3798
/dev/md127,1,1,20,3.03113,0.0970764,244,58.1584,3795
/dev/md127,1,1,20,4.04169,0.0993805,95,57.6233,3797
/dev/md127,1,1,20,5.05197,0.0979233,0,57.5872,3796
/dev/md127,1,1,20,6.06251,0.0960541,0,57.986,3797
/dev/md127,1,1,20,7.07269,0.0980339,0,57.414,3796
/dev/md127,1,1,20,8.08325,0.10207,0,57.8195,3796
/dev/md127,1,1,20,9.09353,0.0966454,0,57.6916,3797
/dev/md127,1,1,20,10.1041,0.0966187,0,57.5742,3797
/dev/md127,1,1,20,11.1143,0.0977364,0,57.8663,3796
/dev/md127,1,1,20,12.1249,0.0974274,0,57.9182,3797
/dev/md127,1,1,20,13.1351,0.0974388,0,57.5398,3796
/dev/md127,1,1,20,14.1453,0.0992661,0,57.7785,3797
/dev/md127,1,1,20,15.1557,0.097374,0,58.257,3797
/dev/md127,1,1,20,16.1659,0.0960312,0,58.1583,3796
/dev/md127,1,1,20,17.1764,0.0975418,0,58.0299,3796
/dev/md127,1,1,20,18.1866,0.12817,0,57.5278,3796
/dev/md127,1,1,20,19.1971,0.122253,0,58.0154,3795
/dev/md127,1,1,20,20.2073,0.12669,0,57.9306,3795
/dev/md127,1,1,20,21.2174,0.14278,0,57.6343,3788
/dev/md127,1,1,20,22.2279,0.122272,0,57.512,3796
/dev/md127,1,1,20,23.2382,0.107147,0,57.3819,3792
/dev/md127,1,1,20,24.2482,0.100376,0,57.912,3794
/dev/md127,1,1,20,25.2587,0.102345,0,57.8355,3801
/dev/md127,1,1,20,26.269,0.0999413,0,57.8022,3796
/dev/md127,1,1,20,27.2794,0.127716,0,57.8425,3796
/dev/md127,1,1,20,28.2897,0.115025,0,57.7131,3796
/dev/md127,1,1,20,29.2998,0.10601,0,57.6681,3796
/dev/md127,1,1,20,30.3102,0.106453,0,57.9687,3795
/dev/md127,1,1,20,31.3204,0.117981,0,57.8713,3793
/dev/md127,1,1,20,32.3309,0.121277,0,57.5708,3795
/dev/md127,1,1,20,33.3412,0.103031,0,57.7291,3796
/dev/md127,1,1,20,34.3514,0.0974503,0,57.6791,3796
/dev/md127,1,1,20,35.3618,0.0991325,0,58.0113,3797
/dev/md127,1,1,20,36.372,0.0981903,2,57.6613,3796
/dev/md127,1,1,20,37.3825,0.0963249,1,58.0187,3797
/dev/md127,1,1,20,38.3927,0.0957565,0,58.0877,3796
/dev/md127,1,1,20,39.4029,0.0962868,0,58.0106,3795
/dev/md127,1,1,20,40.4133,0.0984917,0,57.7422,3797
/dev/md127,1,1,20,41.4235,0.0972633,0,57.99,3796
/dev/md127,1,1,20,42.4341,0.0977592,0,57.8175,3797
/dev/md127,1,1,20,43.4443,0.0938377,0,57.854,3796
/dev/md127,1,1,20,44.4545,0.0932312,0,57.7071,3796
/dev/md127,1,1,20,45.4649,0.0962563,0,57.78,3797
/dev/md127,1,1,20,46.4751,0.0979996,0,57.9031,3797
/dev/md127,1,1,20,47.4856,0.0940247,0,57.8162,3800
/dev/md127,1,1,20,48.4958,0.0970688,0,57.5063,3798
/dev/md127,1,1,20,49.5064,0.0945587,0,57.8852,3797
/dev/md127,1,1,20,50.5167,0.095459,0,57.5942,3796
/dev/md127,1,1,20,51.5272,0.0963478,0,58.1388,3799
/dev/md127,1,1,20,52.5375,0.0975571,0,57.4422,3797
/dev/md127,1,1,20,53.548,0.097187,0,57.9407,3797
/dev/md127,1,1,20,54.5583,0.0973206,0,57.8255,3797
/dev/md127,1,1,20,55.5688,0.0973015,0,57.8039,3797
/dev/md127,1,1,20,56.5791,0.0968742,0,57.5961,3796
/dev/md127,1,1,20,57.5896,0.0962563,0,57.9719,3798
/dev/md127,1,1,20,58.5999,0.0955544,0,57.5619,3796
/dev/md127,1,1,20,59.6104,0.0963631,0,57.6775,3797
/dev/md127,1,1,20,60.6207,0.0961876,0,58.2529,3797
/dev/md127,1,1,20,61.6308,0.0953789,0,57.9339,3796
/dev/md127,1,1,20,62.6413,0.0957146,0,57.7813,3798
/dev/md127,1,1,20,63.6515,0.0951233,0,57.5526,3798
/dev/md127,1,1,20,64.6621,0.109676,0,57.5968,3796
/dev/md127,1,1,20,65.6723,0.129597,0,57.8165,3794
/dev/md127,1,1,20,66.6827,0.130409,0,57.5406,3796
/dev/md127,1,1,20,67.693,0.124363,0,57.764,3796
/dev/md127,1,1,20,68.7031,0.139282,0,57.7595,3789
/dev/md127,1,1,20,69.7136,0.117115,0,58.0498,3796
/dev/md127,1,1,20,70.7238,0.116806,0,57.9081,3796
/dev/md127,1,1,20,71.7343,0.111469,0,57.8262,3794
/dev/md127,1,1,20,72.7447,0.0994377,0,57.9195,3796
/dev/md127,1,1,20,73.7552,0.0949135,0,57.4658,3798
/dev/md127,1,1,20,74.7654,0.102863,0,57.7116,3796
/dev/md127,1,1,20,75.7759,0.0964622,0,58.047,3800
/dev/md127,1,1,20,76.7863,0.0989151,0,57.3918,3798
/dev/md127,1,1,20,77.7968,0.0970421,0,57.838,3798
/dev/md127,1,1,20,78.807,0.0944748,0,57.6933,3800
/dev/md127,1,1,20,79.8176,0.0960846,0,57.9718,3797
/dev/md127,1,1,20,80.8279,0.0984154,0,57.8036,3797
/dev/md127,1,1,20,81.8384,0.0975952,0,58.1032,3798
/dev/md127,1,1,20,82.8487,0.0961266,0,57.6132,3797
/dev/md127,1,1,20,83.8588,0.0932045,0,57.8303,3797
/dev/md127,1,1,20,84.8693,0.0950813,0,57.5503,3797
/dev/md127,1,1,20,85.8795,0.0966492,0,57.6242,3796
/dev/md127,1,1,20,86.89,0.0981407,0,57.7041,3798
/dev/md127,1,1,20,87.9002,0.0990486,0,58.1271,3796
/dev/md127,1,1,20,88.9107,0.0981674,0,57.3531,3797
/dev/md127,1,1,20,89.921,0.0962143,0,57.8678,3797
/dev/md127,1,1,20,90.9315,0.0979118,0,57.7897,3797
/dev/md127,1,1,20,91.9419,0.106953,0,57.8229,3796
/dev/md127,1,1,20,92.9524,0.121246,0,57.8774,3797
/dev/md127,1,1,20,93.9626,0.0977402,0,58.1449,3796
/dev/md127,1,1,20,94.9728,0.0956764,0,57.8823,3796
/dev/md127,1,1,20,95.9833,0.0976944,0,57.7923,3797
/dev/md127,1,1,20,96.9934,0.0958443,0,57.4946,3796
/dev/md127,1,1,20,98.004,0.096714,0,57.8622,3798
/dev/md127,1,1,20,99.0142,0.0975952,0,58.0013,3797
/dev/md127,1,1,20,100.025,0.0946083,0,57.4188,3798
/dev/md127,1,1,20,101.035,0.0981903,0,57.7609,3797
/dev/md127,1,1,20,102.046,0.0988388,0,57.9788,3797
/dev/md127,1,1,20,103.056,0.0982933,0,58.0027,3800
/dev/md127,1,1,20,104.066,0.0993881,0,57.8719,3797
/dev/md127,1,1,20,105.077,0.0953636,0,57.8148,3796
/dev/md127,1,1,20,106.087,0.0949287,0,57.7906,3797
/dev/md127,1,1,20,107.098,0.0942345,0,58.0767,3797
/dev/md127,1,1,20,108.108,0.0974655,0,57.6423,3797
/dev/md127,1,1,20,109.118,0.0999947,0,57.5994,3796
/dev/md127,1,1,20,110.129,0.097538,0,57.6772,3798
/dev/md127,1,1,20,111.139,0.0975876,0,57.6507,3796
/dev/md127,1,1,20,112.15,0.0951576,0,57.7716,3797
/dev/md127,1,1,20,113.16,0.0940399,0,57.8539,3797
/dev/md127,1,1,20,114.17,0.0945358,0,57.9461,3798
/dev/md127,1,1,20,115.181,0.0970612,0,57.6235,3796
/dev/md127,1,1,20,116.191,0.0960426,0,57.7436,3798
/dev/md127,1,1,20,117.202,0.0944901,0,58.1117,3797
/dev/md127,1,1,20,118.212,0.096096,0,57.7623,3797
/dev/md127,1,1,20,119.222,0.0988731,0,57.8327,3797
/dev/md127,1,1,20,120.233,0.0982513,0,57.8977,3798
/dev/md127,1,1,20,121.243,0.100368,0,57.6235,3796
/dev/md127,1,1,20,122.254,0.0982895,0,58.0174,3798
/dev/md127,1,1,20,123.264,0.0944862,0,57.5459,3796
/dev/md127,1,1,20,124.274,0.0938873,0,58.0326,3798
/dev/md127,1,1,20,125.285,0.0938072,0,57.6249,3797
/dev/md127,1,1,20,126.295,0.0948715,0,58.0418,3801
/dev/md127,1,1,20,127.306,0.0927124,0,57.5642,3798
/dev/md127,1,1,20,128.316,0.0956688,0,57.5676,3798
/dev/md127,1,1,20,129.326,0.0963287,0,57.7815,3796
/dev/md127,1,1,20,130.337,0.0943451,0,57.6376,3800
/dev/md127,1,1,20,131.347,0.0952988,0,57.6987,3797
/dev/md127,1,1,20,132.358,0.0966949,0,57.7853,3798
/dev/md127,1,1,20,133.368,0.097599,0,57.7614,3796
/dev/md127,1,1,20,134.379,0.0989799,0,57.741,3798
/dev/md127,1,1,20,135.389,0.095932,0,57.9099,3796
/dev/md127,1,1,20,136.399,0.096756,0,57.7259,3798
/dev/md127,1,1,20,137.41,0.096981,0,57.7996,3797
/dev/md127,1,1,20,138.42,0.103676,0,57.7278,3796
/dev/md127,1,1,20,139.43,0.0987358,0,57.8546,3797
/dev/md127,1,1,20,140.441,0.0944061,0,57.8046,3796
/dev/md127,1,1,20,141.451,0.101643,0,57.4195,3797
/dev/md127,1,1,20,142.461,0.0986443,0,57.965,3796
/dev/md127,1,1,20,143.472,0.132614,11,55.8799,3795
/dev/md127,1,1,20,144.482,1.05296,29,1.06061,3772
/dev/md127,1,1,20,145.492,1.05404,0,1.05408,3804
/dev/md127,1,1,20,146.502,1.05618,0,1.05615,3804
/dev/md127,1,1,20,147.512,1.0545,0,1.05448,3805
/dev/md127,1,1,20,148.522,1.05637,0,1.05643,3804
/dev/md127,1,1,20,149.531,1.05798,0,1.05791,3805
/dev/md127,1,1,20,150.542,1.06044,0,1.06045,3806
/dev/md127,1,1,20,151.552,1.05855,0,1.05856,3805
/dev/md127,1,1,20,152.562,1.06081,0,1.06083,3805
/dev/md127,1,1,20,153.572,1.05488,0,1.05487,3805
/dev/md127,1,1,20,154.582,1.05032,0,1.05029,3805
/dev/md127,1,1,20,155.592,1.05876,0,1.05876,3803
/dev/md127,1,1,20,156.603,1.05719,0,1.0572,3805
/dev/md127,1,1,20,157.612,1.05831,0,1.05832,3804
/dev/md127,1,1,20,158.622,1.05468,0,1.0547,3804
/dev/md127,1,1,20,159.632,1.05534,0,1.05533,3804
/dev/md127,1,1,20,160.642,1.05868,0,1.05869,3804
/dev/md127,1,1,20,161.652,1.05698,0,1.05695,3804
/dev/md127,1,1,20,162.662,1.05689,0,1.05687,3805
/dev/md127,1,1,20,163.672,1.05771,0,1.05772,3804
/dev/md127,1,1,20,164.682,1.05743,0,1.05744,3805
/dev/md127,1,1,20,165.692,1.05769,0,1.05768,3805
/dev/md127,1,1,20,166.702,1.05387,0,1.05388,3805
/dev/md127,1,1,20,167.713,1.05524,0,1.05519,3805
/dev/md127,1,1,20,168.723,1.05424,0,1.05424,3805
/dev/md127,1,1,20,169.733,1.06018,0,1.0602,3804
/dev/md127,1,1,20,170.743,1.08369,0,1.08371,3805
/dev/md127,1,1,20,171.753,1.10275,0,1.10272,3805
/dev/md127,1,1,20,172.763,1.07198,0,1.07194,3805
/dev/md127,1,1,20,173.773,1.05204,0,1.05207,3805
/dev/md127,1,1,20,174.783,1.05211,0,1.05215,3805
/dev/md127,1,1,20,175.793,1.05494,0,1.05493,3805
/dev/md127,1,1,20,176.804,1.05663,0,1.05662,3805
/dev/md127,1,1,20,177.814,1.05156,0,1.0516,3805
/dev/md127,1,1,20,178.823,1.05484,0,1.05486,3804
/dev/md127,1,1,20,179.833,1.05087,0,1.05087,3804
/dev/md127,1,1,20,180.843,1.05076,0,1.05074,3804
/dev/md127,1,1,20,181.853,1.05038,0,1.05042,3804
/dev/md127,1,1,20,182.863,1.05113,0,1.05111,3804
/dev/md127,1,1,20,183.873,1.05061,0,1.05066,3804
/dev/md127,1,1,20,184.883,1.05247,0,1.05241,3805
/dev/md127,1,1,20,185.893,1.04755,0,1.04755,3804
/dev/md127,1,1,20,186.903,1.04671,0,1.0467,3804
/dev/md127,1,1,20,187.912,1.05071,10992,1.05074,3790
/dev/md127,1,1,20,188.922,1.05618,0,1.05621,3804
/dev/md127,1,1,20,189.932,1.05036,0,1.05035,3804
/dev/md127,1,1,20,190.942,1.05502,0,1.05497,3803
/dev/md127,1,1,20,191.952,1.05433,0,1.05439,3805
/dev/md127,1,1,20,192.962,1.05714,0,1.0571,3804
/dev/md127,1,1,20,193.972,1.05279,0,1.0528,3804
/dev/md127,1,1,20,194.982,1.04942,0,1.04943,3805
/dev/md127,1,1,20,195.992,1.04389,0,1.04393,3804
/dev/md127,1,1,20,197.002,1.0512,0,1.05121,3804
/dev/md127,1,1,20,198.012,1.05028,0,1.05026,3805
/dev/md127,1,1,20,199.021,1.05585,0,1.05583,3804
/dev/md127,1,1,20,200.031,1.05231,0,1.05231,3804
/dev/md127,1,1,20,201.041,1.05422,0,1.05423,3804
/dev/md127,1,1,20,202.051,1.0499,0,1.0499,3805
/dev/md127,1,1,20,203.061,1.05337,0,1.05338,3804
/dev/md127,1,1,20,204.071,1.05259,0,1.05257,3805
/dev/md127,1,1,20,205.081,1.05476,0,1.05477,3804
/dev/md127,1,1,20,206.091,1.04881,0,1.0488,3804
/dev/md127,1,1,20,207.101,1.05253,0,1.05256,3804
/dev/md127,1,1,20,208.111,1.04969,0,1.04967,3804
/dev/md127,1,1,20,209.121,1.04725,0,1.04728,3804
/dev/md127,1,2,20,1.01,6.87458,0,6.87501,3845
/dev/md127,1,2,20,2.0202,6.87542,0,6.875,3808
/dev/md127,1,2,20,3.03046,6.91406,0,6.91406,3808
/dev/md127,1,2,20,4.04061,6.89453,0,6.89453,3808
/dev/md127,1,2,20,5.05071,6.83045,0,6.83826,3808
/dev/md127,1,2,20,6.06081,6.86096,0,6.85316,3808
/dev/md127,1,2,20,7.07109,6.91406,0,6.91406,3809
/dev/md127,1,2,20,8.08131,6.91406,0,6.91406,3808
/dev/md127,1,2,20,9.09148,6.86196,0,6.86572,3808
